Column1,ARO_BUSSTO,BUSSTOP_EN,BUSSTOP_NM,BUS_NODE_I,GPS_LATI,GPS_LONG,ROUTE_NO
"1488","52790",Sintanjin Station,신탄진역,"8002133",36.449863000000001,127.428955000000002,"2, 300, 407, 703, 704, 705, 71-1, 71-2, 712, 72-1, 75"
"1489","52810",Sintanjin Station,신탄진역,"8002134",36.449252999999999,127.429270000000002,"2, 300, 407, 703, 704, 705, 71-1, 71-2, 712, 72-1, 75"
"1490","53140",Sintanjin Filtration Plant,신탄진정수장,"8005980",36.442940000000000,127.441149999999993,"71-1, 71-2"
"1491","53300",Sintanjin Filtration Plant,신탄진정수장,"8005981",36.442836999999997,127.441079999999999,"71-1, 71-2"
"1492","52260",Sintanjin Hanil Hospital,신탄진한일병원,"8002139",36.432715999999999,127.423630000000003,"2, 703, 705, 711"
"1493","52270",Sintanjin Hanil Hospital,신탄진한일병원,"8002140",36.433309999999999,127.423800000000000,"2, 703, 705, 711"
"1494","10570",Sinheung-dong Intercity Bus Stop,신흥동시외버스정류소,"8002150",36.322495000000004,127.444789999999998,"512, 619"
"1495","10580",Sinheung-dong Intercity Bus Stop,신흥동시외버스정류소,"8002151",36.322445000000002,127.445149999999998,"512, 619"
"1496","10530",Sinheung-dong Terminal,신흥동종점,"9005568",36.322519999999997,127.442740000000001,"606"
"1497","10600",Sinheungmaeul Apts.,신흥마을아파트,"8002573",36.321133000000003,127.445859999999996,"313, 514, 60, 606, 607, 62, 63"
"1498","10560",Chisu 2(e)-gyo(Bridge),신흥마을아파트정문,"8002570",36.320779999999999,127.444059999999993,"512, 604, 612, 619"
"1499","10610",Sinheungmaeul Apts.,신흥마을아파트후문,"8002571",36.321260000000002,127.445149999999998,"313, 514, 60, 604, 606, 607, 612, 62, 63"
"1500","10630",Sinheung Station,신흥역,"8002153",36.319369999999999,127.449140000000000,"313, 514, 60, 604, 606, 607, 612, 62, 63"
"1501","10640",Sinheung Station,신흥역,"8002154",36.319290000000002,127.449830000000006,"313, 514, 60, 604, 606, 607, 612, 62, 63"
"1502","46100",---,싸이언스빌3가,"8007101",36.384968000000001,127.405109999999993,"121, 705, 802"
"1503","46110",---,싸이언스빌3가,"8007102",36.384987000000002,127.405339999999995,"121, 705, 802"
"1504","21590",Ssangyong Yega Apts.,쌍용예가아파트,"8002795",36.322809999999997,127.398124999999993,"318, 603"
"1505","21800",Ssangyong Yega Apts.,쌍용예가아파트,"8002794",36.322586000000001,127.398240000000001,"318, 603"
"1506","82420",---,씨엔씨티에너지학하CES,"8007240",36.344490000000000,127.307789999999997,"3"
"1507","82430",---,씨엔씨티에너지학하CES,"8007231",36.344209999999997,127.307975999999996,"3"
