,ARO_BUSSTOP_ID,BUSSTOP_ENG_NM,BUSSTOP_NM,BUS_NODE_ID,GPS_LATI,GPS_LONG,ROUTE_NO
525,['53340'],['Daejeon Theological University'],['대전신학대학교'],['8001407'],['36.35104'],['127.42474'],"[' 105, 314, 711']"
526,['33260'],['LH Daejeon Energy Project office'],['대전에너지사업단'],['8007178'],['36.33193'],['127.346825'],"[' 115, 213, 601, 603']"
527,['46510'],['LH Daejeon Energy Project office'],['대전에너지사업단'],['8007177'],['36.332397'],['127.34698'],"[' 115, 213, 601, 603']"
528,['20230'],['Daejeon Girls` Commercial High School'],['대전여상'],['8001409'],['36.332947'],['127.420784'],"[' 107, 514, 604, 620']"
529,['20250'],['Daejeon Girls` Commercial High School'],['대전여상'],['8001408'],['36.33234'],['127.42104'],"[' 107, 514, 604, 620']"
530,['12370'],['Daejeon Station'],['대전역'],['8001420'],['36.33344'],['127.431404'],"[' 101, 2002, 201, 202, 512, 60, 606, 607, 611, 616, 63, 705, B1']"
531,['12390'],['Daejeon Station'],['대전역'],['8001419'],['36.332737'],['127.431725'],"[' 2, 314, 501, 613, 614, 622, 711, 802']"
532,['12400'],['Daejeon Station'],['대전역'],['8001418'],['36.33254'],['127.43213'],"[' 2, 2002, 201, 202, 314, 512, 613, 616, 705, 711, 802']"
533,['12410'],['Daejeon Station'],['대전역'],['8001417'],['36.33195'],['127.43239'],"[' 606, 611, 614, 622']"
534,['12460'],['Daejeon Station'],['대전역'],['8001413'],['36.33046'],['127.43108'],"[' 1, 101, 107, 317, 603, 608, 612, 701']"
535,['12470'],['Daejeon Station'],['대전역'],['8001414'],['36.330814'],['127.43195'],"[' 103, 20, 311, 313, 511, 514']"
536,['14730'],['---'],['대전역'],['8007412'],['36.332798'],['127.43197'],[' B1']
537,['10040'],['Daejeon Station Market'],['대전역/역전시장'],['8001412'],['36.32953'],['127.43368'],"[' 1, 20, 30, 311, 33-1, 33-2, 501, 511, 514, 52, 60, 603, 605, 607, 612, 62, 63']"
538,['14270'],['Daejeon Station Market'],['대전역/역전시장'],['8003054'],['36.33012'],['127.433365'],"[' 102, 317, 512, 606, 616']"
539,['10010'],['Daejeon Station/Jungang Market'],['대전역/중앙시장'],['8001421'],['36.329544'],['127.433304'],"[' 317, 512, 603, 605, 611, 616, 62']"
540,['12380'],['Korea Rail Network Authority(Chungcheong HQ)'],['대전역/하나은행'],['8002695'],['36.333744'],['127.43168'],"[' 501, 60, 607, 63']"
541,['14230'],['Daejeon Station'],['대전역네거리'],['8001415'],['36.331043'],['127.431854'],"[' 107, 2002, 201, 202']"
542,"['11400', '11400']","['Sinan-dong', 'Daejeon Station East Square']","['신안동', '대전역동광장']","['8002114', '9002114']","['36.33171', '36.3335']","['127.440285', '127.43905']","[' 711, 20, 30, 317, 616, 62, 711', ' 711']"
543,"['11410', '11410']","['Daejeon Station East Square', 'Daejeon Station East Square']","['대전역동광장', '대전역동광장']","['8005504', '9005504']","['36.33353', '36.332943']","['127.43734', '127.43691']","[' 102, 317, 616, 705, 705, 711, B1', ' 102, 317, 616, 705']"
544,"['11420', '11420']","['Daejeon Station East Square Terminal', 'Daejeon Station East Square']","['대전역동광장종점', '대전역동광장']","['8005621', '8001422']","['36.332615', '36.333496']","['127.43771', '127.438736']","[' 605, 20, 2002, 202, 317, 33-1, 33-2, 52, 60, 616, 63', ' 605']"
545,['11430'],['Daejeon Station East Square'],['대전역동광장'],['8005548'],['36.33349'],['127.43838'],"[' 615, 701']"
546,['14630'],['Daejoen station East Square'],['대전역동광장'],['8007268'],['36.333817'],['127.43729'],"[' 102, 107, 30, 317, 33-1, 33-2, 52, 616, 705, 711, B1']"
547,"['11420', '11420']","['Daejeon Station East Square Terminal', 'Daejeon Station East Square']","['대전역동광장종점', '대전역동광장']","['8005621', '8001422']","['36.332615', '36.333496']","['127.43771', '127.438736']","[' 605, 20, 2002, 202, 317, 33-1, 33-2, 52, 60, 616, 63', ' 605']"
548,['46630'],['---'],['대전예술고등학교'],['8007483'],['36.348347'],['127.33403'],"[' 312, 5']"
549,['32380'],['Culture&Arts Center'],['대전예술의전당'],['8001394'],['36.36446'],['127.38667'],"[' 606, 618, 911']"
550,['34730'],['Culture&Arts Center'],['대전예술의전당'],['8001395'],['36.364975'],['127.38449'],"[' 606, 618, 911']"
551,['31560'],['Lotte Apts.'],['대전외국어고'],['8001588'],['36.33752'],['127.3665'],"[' 119, 312, 617']"
552,['52060'],['Daejeon Imun High School'],['대전이문고'],['8001423'],['36.446476'],['127.42207'],"[' 701, 705, 712, 72-1']"
553,['52070'],['Daejeon Imun High School'],['대전이문고'],['8001424'],['36.446415'],['127.42238'],"[' 701, 705, 712, 72-1']"
554,['32750'],['Daejeon Ilbo(Newspaper Co.)'],['대전일보사'],['8001425'],['36.353622'],['127.36067'],"[' 101, 103, 105, 107, 116, 119, 3, 312']"
555,['32760'],['Daejeon Ilbo(Newspaper Co.)'],['대전일보사'],['8001426'],['36.354168'],['127.36174'],"[' 101, 103, 105, 107, 116, 119, 3, 312']"
556,['14020'],['Haso-dong'],['대전제2시립노인병원'],['8002856'],['36.21287'],['127.43957'],[' 501']
557,['14260'],['Haso-dong'],['대전제2시립노인병원'],['8002857'],['36.212765'],['127.43957'],[' 501']
558,['20210'],['Chungnam Provincial Police Agency'],['대전준법지원센터'],['8002729'],['36.328552'],['127.420425'],"[' 108, 511, 603']"
559,['20220'],['Chungnam Provincial Police Agency'],['대전준법지원센터'],['8002730'],['36.328785'],['127.420654'],"[' 108, 511, 603']"
560,['20690'],['Daejeon Middle School'],['대전중학교'],['8001429'],['36.319958'],['127.42422'],"[' 108, 313, 620']"
561,['20710'],['Daejeon Middle School'],['대전중학교'],['8001428'],['36.320004'],['127.42453'],"[' 108, 313, 620']"
562,['51130'],['Daejeon Ragional Tax Office A'],['대전지방국세청'],['8006007'],['36.372967'],['127.42819'],"[' 311, 616, 617, 620']"
563,['51140'],['Daeduck Fire Station'],['대전지방국세청'],['8001430'],['36.372147'],['127.42838'],"[' 2, 611, 614, 615, 701, 706']"
564,['11740'],['Daejeon Regional Construction Management Administration'],['대전지방국토관리청'],['8002316'],['36.35224'],['127.4322'],"[' 102, 615, 802']"
565,['11780'],['Daejeon Regional Construction Management Administration'],['대전지방국토관리청'],['8002317'],['36.35209'],['127.43263'],"[' 102, 615, 802']"
566,['42890'],['Daejeon Regional Meteorological Administration'],['대전지방기상청'],['8001431'],['36.36993'],['127.37101'],"[' 104, 121, 5, 604']"
567,['42900'],['Daejeon Regional Meteorological Administration'],['대전지방기상청'],['8001432'],['36.369877'],['127.37127'],"[' 104, 121, 5, 604']"
568,['30440'],['Public Procurement Service Entrance'],['대전지방조달청'],['8002585'],['36.32009'],['127.37049'],"[' 216, 301, 916']"
