법정동,BUS_ID,BUS_NN,탑승,하차,환승,BUS_NODE_I,GPS_LATI(위도),GPS_LONG(경도),ROUTE_NO
동구 용운동,11130,새울,2357,1478,50,8001907,36.330772,127.46579,"603, 608, 61-1, 61-2, 62, 66"
동구 용운동,11150,새울,785,1286,15,8001908,36.330875,127.46608,"603, 608, 61-1, 61-2, 62, 66"
동구 용운동,11090,에코포레아파트,1658,7154,17,8002308,36.3304,127.463135,603
동구 용운동,11140,에코포레아파트,6801,2894,92,8001760,36.328133,127.46638,"603, 608, 61-1, 61-2, 62, 66"
동구 용운동,10890,용방마을아파트,3188,12397,352,8002286,36.326893,127.4507,"603, 611, 619, 62"
동구 용운동,10900,용방마을아파트,10249,1548,193,8002289,36.327393,127.45037,"603, 611, 619, 62"
동구 용운동,14680,용수골,6284,1839,114,8007360,36.333828,127.455536,608
동구 용운동,10920,용운고층아파트,36877,5454,709,8002307,36.32833,127.453545,"603, 611, 619, 62"
동구 용운동,11110,용운국제수영장,2641,1345,79,8002298,36.324577,127.46516,"603, 608, 61-1, 61-2, 62, 66"
동구 용운동,11120,용운국제수영장,1287,3627,51,8002297,36.324547,127.46535,"603, 608, 61-1, 61-2, 62, 66"
동구 용운동,11060,용운도서관,1699,5126,38,8001617,36.324986,127.46193,"603, 611, 619, 62"
동구 용운동,11070,용운도서관,9063,2739,208,8001618,36.32468,127.462204,"603, 611, 619, 62"
동구 용운동,11020,용운동주민센터,69089,9155,1551,8002296,36.327988,127.46078,"603, 611, 619, 62"
동구 용운동,11050,용운동주민센터,863,5673,24,8002301,36.32833,127.461784,603
동구 용운동,10950,용운마젤란아파트,21474,1648,247,8002305,36.337708,127.45729,"605, 608"
동구 용운동,10980,용운마젤란아파트,2280,15805,41,8002304,36.338184,127.457634,"605, 608"
동구 용운동,10940,용운종합사회복지관,7081,24601,575,8002287,36.327587,127.45379,"603, 611, 619, 62"
동구 용운동,11040,용운초등학교,5415,11735,664,8002299,36.32687,127.4616,"603, 611, 619, 62"
동구 용운동,10910,우송대동캠퍼스,13705,1717,201,8002341,36.333096,127.453415,"605, 608"
동구 용운동,14280,우송대동캠퍼스,1240,15616,26,8003051,36.33291,127.453545,"605, 608"
동구 용운동,10880,한밭여중입구,997,1975,70,8002295,36.32737,127.44761,611
동구 대동,11170,대동역2번출구,47052,13764,27283,8005881,36.328762,127.44144,"102, 103, 20, 311, 317, 605, 608, 611, 616, 711"
동구 대동,11180,대동역3번출구,58675,108805,29374,8001348,36.32906,127.441734,"1, 102, 103, 20, 30, 311, 317, 512, 603, 605, 608, 611, 616, 711"
동구 대동,11210,대동역7번출구,86790,16882,59281,8001349,36.33028,127.44373,"102, 103, 311, 605, 608"
동구 대동,11260,대동초등학교,3632,7507,433,8002290,36.325996,127.447266,"603, 619, 62"
동구 대동,11270,대동초등학교,12171,3040,308,8001352,36.326206,127.44738,"603, 611, 619, 62"
동구 대동,11200,새들뫼아파트,11542,3973,3960,8001344,36.328083,127.44307,"512, 603"
동구 대동,11240,우송고등학교,26919,25814,2845,8002344,36.333046,127.4454,"102, 103, 311, 605, 608"
동구 대동,11380,이스트시티아파트,36226,25833,16345,8002155,36.328053,127.439354,"102, 103, 20, 311, 317, 512, 603, 605, 608, 611, 616, 711"
동구 대동,11280,자양초등학교,15111,55947,1541,8002488,36.33128,127.44392,"102, 103, 311, 605, 608"
동구 대동,11230,충남중네거리,4155,8510,555,8001345,36.327457,127.44421,"512, 603, 611, 62"
동구 대동,10590,충남중학교,5593,3836,502,8002727,36.324642,127.44547,"512, 619"
동구 대동,11250,충남중학교,3296,3762,268,8002728,36.3247,127.44583,"512, 619"
동구 대동,11220,펜타뷰아파트,5427,1708,2745,8001351,36.328777,127.44422,611
동구 자양동,11330,대주파크빌,6687,13787,203,8001445,36.342396,127.4488,311
동구 자양동,11370,동아마이스터고,3941,8494,26,8001548,36.344177,127.45187,311
동구 자양동,11290,우송고등학교,46448,29271,2208,8002345,36.33445,127.44585,"102, 103, 311, 605, 608"
동구 자양동,11300,우송대삼거리,60083,45066,14521,8002340,36.336014,127.44718,"102, 103, 311, 605, 608"
